,kics,dnus
1006,KIC3347431,-inf
1007,KIC3347458,-inf
1008,KIC3347554,-inf
1009,KIC3347745,-inf
1010,KIC3348070,-inf
1011,KIC3348124,-inf
1012,KIC3348134,-inf
1013,KIC3348774,-inf
1014,KIC3351749,-inf
1015,KIC3352208,-inf
1016,KIC3352842,-inf
1017,KIC3353773,-inf
1018,KIC3354566,-inf
1019,KIC3354827,-inf
1020,KIC3355015,-inf
1021,KIC3355034,-inf
1022,KIC3355750,-inf
1023,KIC3356643,-inf
1024,KIC3356689,-inf
1025,KIC3424072,-inf
1026,KIC3424105,-inf
1027,KIC3424202,-inf
1028,KIC3424384,-inf
1029,KIC3425044,-inf
1030,KIC3425217,-inf
1031,KIC3425476,-inf
1032,KIC3425675,-inf
1033,KIC3426673,-inf
1034,KIC3426812,-inf
1035,KIC3426898,-inf
1036,KIC3427629,-inf
1037,KIC3427850,-inf
1038,KIC3427908,-inf
1039,KIC3428530,-inf
1040,KIC3428577,-inf
1041,KIC3429018,-inf
1042,KIC3429176,-inf
1043,KIC3429364,-inf
1044,KIC3429738,-inf
1045,KIC3429803,-inf
1046,KIC3430007,-inf
1047,KIC3430048,-inf
1048,KIC3430205,-inf
1049,KIC3430471,-inf
1050,KIC3430674,-inf
1051,KIC3431022,-inf
1052,KIC3431244,-inf
1053,KIC3432568,-inf
1054,KIC3432659,-inf
1055,KIC3432732,-inf
1056,KIC3432774,-inf
1057,KIC3432802,-inf
1058,KIC3432992,-inf
1059,KIC3433065,-inf
1060,KIC3437031,-inf
1061,KIC3437461,-inf
1062,KIC3437742,-inf
1063,KIC3438298,-inf
1064,KIC3438609,-inf
1065,KIC3439096,-inf
1066,KIC3439353,-inf
1067,KIC3439356,-inf
